Week,Team ID,R,HR,RBI,SB,OBP,SLG,K,W,SV,ERA,WHIP,K/BB,Win,Loss,Tie,MIP
1,1,46,9,20,13,31.430000000000003,36.54,57,3,6,2.938,1.135,4.071,5,7,0,Y
1,2,57,14,52,12,32.269999999999996,41.839999999999996,100,5,4,3.873,1.217,3.333,7,5,0,Y
1,3,49,14,43,2,36.68,47.81,69,5,1,2.441,0.949,4.059,9,2,1,Y
1,5,42,10,39,1,28.999999999999996,37.16,69,6,7,3.325,1.212,2.556,2,9,1,Y
1,7,40,7,40,5,30.95,38.21,81,7,0,4.33,1.344,2.793,4,8,0,Y
1,8,43,16,52,0,30.43,42.51,56,2,6,2.732,0.911,4.667,8,4,0,Y
1,9,30,13,36,4,29.24,40.72,91,5,0,4.364,1.242,2.844,6,6,0,Y
1,10,45,10,49,5,32.5,40.38,69,3,4,4.179,1.196,3.0,6,6,0,Y
1,11,34,12,41,7,33.050000000000004,37.330000000000005,53,1,5,4.61,1.478,1.514,2,10,0,Y
1,13,38,14,56,2,34.88,52.059999999999995,57,2,4,4.096,1.213,3.353,10,2,0,Y
1,14,29,2,26,3,34.22,32.53,99,5,0,3.412,1.148,3.536,6,6,0,Y
1,15,45,12,44,2,30.86,41.53,79,4,8,4.817,1.332,3.038,6,6,0,Y
2,1,20,3,17,10,30.81,39.11,49,3,2,2.551,1.323,3.769,5,6,1,Y
2,2,31,10,31,5,30.470000000000002,38.5,68,5,6,2.143,0.889,3.238,11,1,0,Y
2,3,25,4,20,1,28.83,32.49,41,4,2,3.732,1.024,5.125,6,5,1,Y
2,5,27,7,24,10,26.36,34.83,44,2,5,2.953,1.102,4.4,8,4,0,Y
2,7,20,4,22,3,29.69,36.67,54,5,2,3.695,1.263,3.0,4,8,0,Y
2,8,26,5,22,2,33.48,38.07,57,3,4,2.887,1.151,2.478,1,11,0,Y
2,9,30,7,23,3,35.620000000000005,43.07,44,1,0,5.031,1.435,2.316,4,8,0,Y
2,10,19,8,28,0,27.389999999999997,39.07,47,2,3,2.592,1.08,3.917,8,4,0,Y
2,11,26,6,24,3,36.41,46.63,36,4,5,4.777,1.362,2.571,7,5,0,Y
2,13,26,9,30,6,29.68,45.18,43,4,1,4.39,1.098,3.583,5,7,0,Y
2,14,28,7,24,1,37.79,43.169999999999995,65,6,0,2.227,1.036,5.909,7,5,0,Y
2,15,21,4,26,2,31.330000000000002,37.85,52,1,2,3.805,1.309,3.059,5,7,0,Y
3,1,32,8,28,6,34.55,43.16,41,4,8,2.551,1.276,2.412,5,6,1,Y
3,2,33,8,28,3,32.78,40.739999999999995,53,6,5,3.268,1.07,3.786,8,3,1,Y
3,3,36,9,20,3,31.380000000000003,43.519999999999996,39,5,1,1.964,0.9,3.0,5,7,0,N
3,5,17,8,31,7,30.3,41.980000000000004,45,5,3,3.279,1.179,2.813,6,5,1,Y
3,7,27,7,28,2,35.339999999999996,46.63,51,4,0,3.279,1.029,3.0,3,8,1,Y
3,8,17,5,28,5,29.599999999999998,35.18,43,4,6,2.619,1.03,4.3,7,5,0,Y
3,9,27,10,34,1,29.110000000000003,40.28,91,5,0,2.446,0.909,4.55,3,8,1,Y
3,10,22,2,17,1,29.360000000000003,31.25,42,3,3,4.098,1.366,2.471,6,6,0,Y
3,11,26,5,15,2,28.99,31.1,38,1,2,4.563,1.268,2.0,6,6,0,Y
3,13,32,10,33,4,30.8,42.04,53,1,8,3.857,1.071,3.786,8,4,0,Y
3,14,46,8,37,2,36.99,49.32,97,7,0,2.192,0.963,4.409,8,3,1,Y
3,15,25,3,20,7,35.870000000000005,36.79,45,3,1,3.767,1.116,3.0,4,8,0,Y
4,1,21,5,25,1,33.33,42.71,64,4,4,4.263,1.281,3.556,7,4,1,Y
4,2,40,14,36,2,37.29,55.400000000000006,69,5,4,3.758,1.191,4.313,8,4,0,Y
4,3,23,10,19,2,33.33,45.16,34,3,5,3.755,1.172,2.429,9,2,1,Y
4,5,32,5,31,4,34.98,44.04,49,3,3,1.8,0.8,9.8,4,8,0,Y
4,7,20,4,19,1,30.669999999999998,35.0,64,6,0,3.963,1.28,2.286,2,9,1,Y
4,8,25,8,27,1,29.86,41.089999999999996,49,3,1,3.83,1.34,2.882,4,7,1,Y
4,9,9,5,22,2,25.990000000000002,31.25,47,6,0,2.799,1.226,2.474,1,11,0,Y
4,10,31,9,25,3,33.93,44.72,40,2,3,4.0,1.417,2.857,4,8,0,N
4,11,26,7,32,3,27.87,37.16,52,4,3,2.682,0.934,3.467,11,1,0,Y
4,13,29,5,22,4,35.809999999999995,43.63,55,3,7,5.151,1.243,6.111,8,4,0,Y
4,14,21,3,11,1,33.17,36.46,55,3,0,2.758,1.016,6.111,5,7,0,Y
4,15,24,6,16,3,35.32,44.04,33,2,7,2.945,1.036,2.75,7,5,0,N
5,1,30,8,26,2,31.840000000000003,45.050000000000004,63,4,6,2.328,0.931,3.706,7,4,1,Y
5,2,34,13,35,2,30.28,47.81,67,8,4,3.191,1.173,2.792,5,6,1,Y
5,3,35,13,38,1,35.65,55.34,49,4,6,3.638,1.234,4.455,6,5,1,Y
5,5,8,4,12,6,24.26,26.919999999999998,47,3,2,4.273,1.532,2.35,1,11,0,Y
5,7,29,8,31,5,32.029999999999994,43.96,49,2,0,4.714,1.333,4.455,4,7,1,Y
5,8,32,13,42,2,26.669999999999998,45.540000000000006,73,4,5,4.036,1.082,3.042,11,1,0,Y
5,9,45,14,48,7,32.53,49.33,43,2,0,5.503,1.529,2.048,10,2,0,Y
5,10,33,8,29,0,29.74,41.46,45,2,0,3.762,1.057,3.462,6,4,2,Y
5,11,29,3,24,5,29.909999999999997,35.260000000000005,51,2,2,3.828,1.343,3.643,6,6,0,Y
5,13,31,4,17,6,29.54,33.64,41,1,3,5.124,1.555,1.864,2,10,0,Y
5,14,28,1,15,1,33.900000000000006,36.71,68,1,0,3.176,0.882,4.25,6,6,0,Y
5,15,33,7,29,7,38.33,50.0,36,1,1,5.672,1.437,2.571,4,6,2,N
6,1,23,6,23,5,29.459999999999997,36.63,44,2,4,4.171,1.293,4.4,2,10,0,Y
6,2,45,12,33,2,36.86,54.50000000000001,50,5,1,3.682,1.422,2.778,7,5,0,Y
6,3,28,7,26,4,36.44,45.36,33,2,2,5.01,1.577,2.538,4,8,0,N
6,5,31,13,40,3,29.84,43.97,59,1,4,4.643,1.49,4.538,9,3,0,Y
6,7,22,7,24,2,34.74,45.550000000000004,45,5,2,3.072,1.222,3.0,5,7,0,Y
6,8,18,4,16,1,31.019999999999996,35.42,33,3,6,2.829,0.8,11.0,1,10,1,N
6,9,25,14,35,3,31.8,52.0,85,5,0,3.321,1.071,5.313,10,2,0,Y
6,10,29,5,22,5,33.47,38.46,55,5,6,2.438,0.979,4.583,8,4,0,Y
6,11,32,6,23,4,37.76,44.39,48,3,4,6.848,1.696,2.526,10,1,1,Y
6,13,29,4,18,6,32.75,36.95,62,1,6,2.63,1.149,6.2,7,5,0,Y
6,14,22,5,35,1,28.76,36.28,54,5,0,2.171,1.01,4.154,3,9,0,Y
6,15,26,8,31,3,35.29,49.769999999999996,47,2,8,3.396,1.17,3.917,5,7,0,Y
7,1,34,11,35,5,33.48,53.269999999999996,40,3,2,3.951,1.195,3.333,5,7,0,Y
7,2,42,12,25,6,31.979999999999997,46.36,45,2,1,5.153,1.374,2.5,4,8,0,Y
7,3,32,4,24,2,35.83,36.230000000000004,56,3,3,4.816,1.459,4.0,4,6,2,Y
7,5,25,11,29,1,32.04,54.92,47,1,6,4.263,1.105,2.765,7,4,1,Y
7,7,27,6,28,5,36.4,43.64,57,5,3,4.731,1.359,1.9,3,8,1,Y
7,8,26,6,31,2,30.580000000000002,43.61,53,1,5,3.248,0.992,3.786,6,6,0,Y
7,9,27,8,29,7,33.47,37.2,70,6,0,3.677,1.162,4.375,8,4,0,Y
7,10,42,8,34,2,34.300000000000004,48.620000000000005,53,7,3,1.994,1.04,3.533,8,3,1,Y
7,11,25,5,34,2,31.580000000000002,38.190000000000005,56,3,1,4.5,1.431,2.435,4,7,1,Y
7,13,26,7,29,8,28.299999999999997,36.89,46,7,4,2.127,1.036,4.6,7,5,0,Y
7,14,37,4,18,3,33.68,40.699999999999996,69,3,0,5.494,1.343,4.059,6,4,2,Y
7,15,34,9,34,0,39.53,52.910000000000004,36,2,2,5.595,1.378,3.273,6,6,0,N
8,1,24,8,36,6,33.48,47.760000000000005,72,3,2,4.765,1.162,4.235,7,5,0,Y
