fg_id,Season,Name,Team,Age,G,PA,HR,R,RBI,BB,SB,AVG,BB%,K%,OBP,SLG,ISO,BABIP,wOBA,wRC+,O-Swing%,SwStr%,BsR,BBE,CStr%,xAVG,xSLG,xwOBA,team_id,AVG_diff,SLG_diff,wOBA_diff,player_type,W,ERA,SV,IP,SO,K/BB,WHIP,FIP,xFIP,Contact%,EV,LA,Barrels,Barrel%,maxEV,95MPH+,HardHit%,xERA,Barrels/BBE%,Barrels/PA%,ERA_diff,FIP_diff
15640,2022,Aaron Judge,NYY,30,129,568,52.0,105.0,114.0,79.0,15.0,0.296,0.139,0.257,0.399,0.666,0.37,0.316,0.442,197.0,0.27399999999999997,0.11699999999999999,1.0,338,0.177,0.298,0.697,0.455,9,-0.002,-0.031,-0.013,Batter,,,,,,,,,,,,,,,,,,,,,,
9777,2022,Nolan Arenado,STL,31,123,522,28.0,65.0,89.0,43.0,4.0,0.305,0.08199999999999999,0.125,0.368,0.565,0.26,0.303,0.397,160.0,0.364,0.08800000000000001,-1.3,408,0.159,0.269,0.457,0.343,1,0.036,0.108,0.054,Batter,,,,,,,,,,,,,,,,,,,,,,
9218,2022,Paul Goldschmidt,STL,34,126,552,34.0,97.0,107.0,69.0,6.0,0.331,0.125,0.21,0.418,0.618,0.287,0.376,0.441,190.0,0.27899999999999997,0.094,2.6,363,0.19399999999999998,0.261,0.495,0.371,15,0.07,0.123,0.07,Batter,,,,,,,,,,,,,,,,,,,,,,
11493,2022,Manny Machado,SDP,29,123,529,26.0,85.0,88.0,52.0,7.0,0.306,0.098,0.19699999999999998,0.374,0.546,0.241,0.344,0.391,157.0,0.331,0.11,3.0,372,0.129,0.269,0.458,0.345,2,0.037,0.088,0.046,Batter,,,,,,,,,,,,,,,,,,,,,,
13611,2022,Mookie Betts,LAD,29,114,522,33.0,104.0,73.0,46.0,12.0,0.281,0.08800000000000001,0.163,0.351,0.567,0.287,0.278,0.391,155.0,0.258,0.064,3.4,385,0.17600000000000002,0.262,0.485,0.355,2,0.019,0.082,0.036,Batter,,,,,,,,,,,,,,,,,,,,,,
5361,2022,Freddie Freeman,LAD,32,132,588,16.0,96.0,82.0,61.0,11.0,0.326,0.10400000000000001,0.146,0.398,0.51,0.184,0.362,0.389,154.0,0.327,0.084,5.6,436,0.12,0.314,0.537,0.398,14,0.012,-0.027,-0.009,Batter,,,,,,,,,,,,,,,,,,,,,,
18360,2022,Austin Riley,ATL,25,132,575,35.0,79.0,88.0,45.0,2.0,0.29,0.078,0.23800000000000002,0.36,0.572,0.282,0.33,0.397,155.0,0.355,0.134,-1.3,380,0.11800000000000001,0.282,0.562,0.391,5,0.008,0.01,0.006,Batter,,,,,,,,,,,,,,,,,,,,,,
12916,2022,Francisco Lindor,NYM,28,133,583,21.0,81.0,86.0,54.0,15.0,0.267,0.09300000000000001,0.19,0.343,0.44,0.173,0.299,0.341,125.0,0.327,0.09699999999999999,3.7,409,0.154,0.251,0.421,0.332,11,0.016,0.019,0.009,Batter,,,,,,,,,,,,,,,,,,,,,,
13510,2022,Jose Ramirez,CLE,29,127,547,26.0,73.0,106.0,51.0,14.0,0.28,0.09300000000000001,0.106,0.349,0.537,0.257,0.27,0.373,146.0,0.319,0.057999999999999996,3.8,434,0.157,0.263,0.421,0.331,13,0.017,0.116,0.042,Batter,,,,,,,,,,,,,,,,,,,,,,
12161,2022,Xander Bogaerts,BOS,29,127,535,12.0,76.0,61.0,48.0,8.0,0.313,0.09,0.191,0.381,0.465,0.152,0.373,0.368,138.0,0.315,0.107,3.9,377,0.187,0.256,0.38,0.32,15,0.057,0.085,0.048,Batter,,,,,,,,,,,,,,,,,,,,,,
